site_id,site_name,operator,year,metric,value,unit,source_url,source_table,note
prineville,Meta Prineville (OR),Meta,2011,electricity_mwh,71000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2023/04/2016-Facebook-Sustainability-Data-Disclosure.pdf,Facebook Sustainability Data 2016 - Electricity Use (MWh),"Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year. Values pre-2021 are rounded to the nearest 1,000 MWh in Meta's disclosures."
prineville,Meta Prineville (OR),Meta,2012,electricity_mwh,153000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2023/04/2016-Facebook-Sustainability-Data-Disclosure.pdf,Facebook Sustainability Data 2016 - Electricity Use (MWh),"Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year. Values pre-2021 are rounded to the nearest 1,000 MWh in Meta's disclosures."
prineville,Meta Prineville (OR),Meta,2013,electricity_mwh,224000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2023/04/2016-Facebook-Sustainability-Data-Disclosure.pdf,Facebook Sustainability Data 2016 - Electricity Use (MWh),"Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year. Values pre-2021 are rounded to the nearest 1,000 MWh in Meta's disclosures."
prineville,Meta Prineville (OR),Meta,2014,electricity_mwh,262000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2023/04/2016-Facebook-Sustainability-Data-Disclosure.pdf,Facebook Sustainability Data 2016 - Electricity Use (MWh),"Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year. Values pre-2021 are rounded to the nearest 1,000 MWh in Meta's disclosures."
prineville,Meta Prineville (OR),Meta,2015,electricity_mwh,284000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2023/04/2016-Facebook-Sustainability-Data-Disclosure.pdf,Facebook Sustainability Data 2016 - Electricity Use (MWh),"Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year. Values pre-2021 are rounded to the nearest 1,000 MWh in Meta's disclosures."
prineville,Meta Prineville (OR),Meta,2016,electricity_mwh,327000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2021/06/2020_FB_Sustainability-Data.pdf,Facebook Sustainability Data 2020 - Electricity Use (MWh),"Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year. Values pre-2021 are rounded to the nearest 1,000 MWh in Meta's disclosures."
prineville,Meta Prineville (OR),Meta,2017,electricity_mwh,426000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2023/07/Meta-2023-Environmental-Data-Index.pdf,"2023 Environmental Data Index, 2.1 Electricity - Electricity consumption by facility (in MWh)","Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year. Values pre-2021 are rounded to the nearest 1,000 MWh in Meta's disclosures."
prineville,Meta Prineville (OR),Meta,2018,electricity_mwh,488000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2023/07/Meta-2023-Environmental-Data-Index.pdf,"2023 Environmental Data Index, 2.1 Electricity - Electricity consumption by facility (in MWh)","Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year. Values pre-2021 are rounded to the nearest 1,000 MWh in Meta's disclosures."
prineville,Meta Prineville (OR),Meta,2019,electricity_mwh,573000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2023/07/Meta-2023-Environmental-Data-Index.pdf,"2023 Environmental Data Index, 2.1 Electricity - Electricity consumption by facility (in MWh)","Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year. Values pre-2021 are rounded to the nearest 1,000 MWh in Meta's disclosures."
prineville,Meta Prineville (OR),Meta,2020,electricity_mwh,686000,MWh,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,"2025 Environmental Data Index, 2.1 Electricity - Electricity Consumption by Facility (in MWh)","Facility-level metered electricity as reported by Meta (owned data centers reported by site). Whole campus, all buildings online that year."
