site_id,cap_mw,change,basis,status,change_umol,z,n_after,n_before
prometheus_oh,250.0,2019-01-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
epoch_meta_cheyenne,152.0,2026-07-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
epoch_meta_aiken,142.0,2026-07-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
epoch_coreweave_helios,132.0,2026-07-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
lulea,120.0,2018-01-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
epoch_google_kansas_city_east,105.0,2026-07-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
epoch_meta_sarpy,80.0,2026-07-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
nsa_utah,65.0,2018-01-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
epoch_southgate_melbourne,41.0,2026-07-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
riken_kobe,29.9,2018-01-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
nscc_guangzhou,18.5,2018-01-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
nscc_wuxi,15.4,2018-01-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
ornl_olcf,10.1,2018-01-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
epoch_microsoft_narvik_norway,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
epoch_openai_stargate_wisconsin,0.0,2026-11-01,first roof + 6 months,skipped: start not in mid-2019..mid-2026,,,,
epoch_openai_stargate_uae,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
epoch_openai_stargate_new_mexico,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
epoch_openai_stargate_milam,0.0,2026-12-01,first roof + 6 months,skipped: start not in mid-2019..mid-2026,,,,
epoch_openai_stargate_michigan,0.0,2026-12-01,first roof + 6 months,skipped: start not in mid-2019..mid-2026,,,,
epoch_crusoe_abilene_expansion,0.0,2026-12-01,first roof + 6 months,skipped: start not in mid-2019..mid-2026,,,,
epoch_openai_stargate_lordstown,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
epoch_anthropic_barber_lake,0.0,2026-08-01,first roof + 6 months,skipped: start not in mid-2019..mid-2026,,,,
prineville,0.0,2018-01-01,documented capacity,skipped: start not in mid-2019..mid-2026,,,,
hyperion_la,0.0,2026-07-01,first roof + 6 months,skipped: start not in mid-2019..mid-2026,,,,
zhongwei_hub,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
ulanqab_hub,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
helingeer_hub,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
zhangbei_hub,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
guian_hub,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
qingyang_hub,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
chongqing_hub,0.0,,,skipped: start not in mid-2019..mid-2026,,,,
